datetime,latitude,longitude,magnitude,location
2009-02-28 14:27:54.819836+00:00,2.3309438,96.050674,3.8902965,"Northern Sumatra, Indonesia"
2009-02-28 16:51:39.624381+00:00,-1.2002738,99.781807,4.4219103,"Southern Sumatra, Indonesia"
2009-02-28 21:26:50.732849+00:00,2.8216634,95.463188,4.3178459,Off West Coast of Northern Sumatra
2009-03-01 19:31:42.227803+00:00,-2.1920385,102.17774,4.208741,"Southern Sumatra, Indonesia"
2009-03-02 14:31:26.525473+00:00,-4.783412,102.90364,3.5291107,"Southern Sumatra, Indonesia"
2009-03-02 18:35:21.433466+00:00,4.7922711,96.034286,4.3261237,"Northern Sumatra, Indonesia"
2009-03-02 20:09:09.461970+00:00,1.155208,97.187408,3.6895399,"Northern Sumatra, Indonesia"
2009-03-03 11:24:09.376294+00:00,-4.3090601,102.36245,4.3552333,"Southern Sumatra, Indonesia"
2009-03-03 17:11:50.937990+00:00,1.9397089,99.01889,3.9305519,"Northern Sumatra, Indonesia"
2009-03-04 10:56:44.685036+00:00,2.857887,95.383324,5.206561,Off West Coast of Northern Sumatra
2009-03-04 14:19:38.859184+00:00,2.812479,95.840172,4.4636844,Off West Coast of Northern Sumatra
2009-03-04 15:56:06.306239+00:00,0.94119853,97.111259,3.3863777,"Northern Sumatra, Indonesia"
2009-03-06 03:39:20.084637+00:00,3.2249379,96.360481,3.9304121,"Northern Sumatra, Indonesia"
2009-03-06 09:09:18.382611+00:00,-1.4921911,99.595436,4.5027709,"Southern Sumatra, Indonesia"
2009-03-06 19:02:22.020246+00:00,-5.7719035,103.92218,3.9195891,"Southern Sumatra, Indonesia"
2009-03-07 06:37:12.511604+00:00,4.6684523,96.632698,4.6746517,"Northern Sumatra, Indonesia"
2009-03-07 07:31:02.436142+00:00,4.6330628,96.760674,3.1574013,"Northern Sumatra, Indonesia"
2009-03-08 18:40:22.295051+00:00,1.1464932,97.134415,4.7549602,"Northern Sumatra, Indonesia"
2009-03-10 04:40:40.119178+00:00,1.1676502,97.331444,4.4913652,"Northern Sumatra, Indonesia"
2009-03-10 07:04:47.589110+00:00,1.0121106,99.526711,2.9832685,"Northern Sumatra, Indonesia"
2009-03-10 12:16:09.479220+00:00,0.83151221,99.560867,3.6694497,"Northern Sumatra, Indonesia"
2009-03-10 16:00:46.469311+00:00,4.5710654,95.302757,3.5777839,"Northern Sumatra, Indonesia"
2009-03-11 05:04:18.554005+00:00,2.510566,95.738289,4.7322022,Off West Coast of Northern Sumatra
2009-03-12 05:10:15.013064+00:00,-4.6760044,101.81324,4.2798043,"Southern Sumatra, Indonesia"
2009-03-12 08:12:27.386186+00:00,5.1266541,95.836571,3.4011968,"Northern Sumatra, Indonesia"
2009-03-12 18:06:36.659197+00:00,2.4679186,96.248894,3.4577571,"Northern Sumatra, Indonesia"
2009-03-13 06:10:52.531304+00:00,-3.7830706,101.70715,3.8717201,"Southern Sumatra, Indonesia"
2009-03-14 15:01:04.751376+00:00,-3.0857549,100.94638,4.2583903,"Southern Sumatra, Indonesia"
2009-03-15 16:17:46.981807+00:00,-1.3455461,100.40587,4.0480822,"Southern Sumatra, Indonesia"
2009-03-19 02:32:40.399937+00:00,1.6776623,96.851227,4.4244578,Off West Coast of Northern Sumatra
2009-03-20 13:42:52.251959+00:00,1.4723798,97.483521,4.0476696,"Northern Sumatra, Indonesia"
2009-03-20 14:50:13.800531+00:00,-5.6452546,103.58426,4.426743,"Southern Sumatra, Indonesia"
2009-03-22 19:18:54.327766+00:00,2.5748696,95.427666,4.653563,Off West Coast of Northern Sumatra
2009-03-22 19:18:54.331415+00:00,2.5673673,95.445999,4.3742493,Off West Coast of Northern Sumatra
2009-03-22 19:23:43.162789+00:00,2.8956838,95.706566,4.9660232,Off West Coast of Northern Sumatra
2009-03-25 08:29:33.016849+00:00,1.8508947,99.245171,3.969858,"Northern Sumatra, Indonesia"
2009-03-25 08:45:00.561662+00:00,-5.3584304,103.60552,3.8604912,"Southern Sumatra, Indonesia"
2009-03-25 18:27:32.017299+00:00,0.4858686,98.176674,5.2609374,"Northern Sumatra, Indonesia"
2009-03-26 13:47:59.780724+00:00,-5.2040148,104.08275,3.6369502,"Southern Sumatra, Indonesia"
2009-03-26 15:50:57.248131+00:00,-3.6314473,100.61724,4.62585,"Southern Sumatra, Indonesia"
2009-03-27 05:32:15.147071+00:00,-1.5785918,100.03359,3.6588468,"Southern Sumatra, Indonesia"
2009-03-27 17:42:44.316517+00:00,-3.8392551,105.72189,4.2545079,"Southern Sumatra, Indonesia"
2009-03-28 07:31:08.611526+00:00,-3.2393587,102.88439,4.4898369,"Southern Sumatra, Indonesia"
2009-03-28 23:47:04.947735+00:00,1.0159264,99.495438,4.5257782,"Northern Sumatra, Indonesia"
2009-03-29 20:22:20.110395+00:00,-2.0909657,104.44125,4.3793833,"Southern Sumatra, Indonesia"
2009-04-01 06:29:38.876650+00:00,-5.9869637,101.79843,5.5109392,"Southwest of Sumatra, Indonesia"
2009-04-01 14:27:47.124132+00:00,-3.5889132,100.47769,5.083679,"Southern Sumatra, Indonesia"
2009-04-02 03:06:29.857330+00:00,5.6102242,96.147995,3.0022986,"Northern Sumatra, Indonesia"
2009-04-03 04:23:55.435115+00:00,2.2945595,95.652054,4.1298423,Off West Coast of Northern Sumatra
2009-04-03 06:38:23.543222+00:00,4.7044544,96.086159,2.9969706,"Northern Sumatra, Indonesia"
2009-04-03 14:56:36.203417+00:00,-2.1446767,102.22801,3.7547419,"Southern Sumatra, Indonesia"
2009-04-04 16:14:02.782466+00:00,-5.5135498,102.87302,3.1664803,"Southern Sumatra, Indonesia"
2009-04-04 20:07:10.064978+00:00,-4.8579373,101.75893,4.1315746,"Southern Sumatra, Indonesia"
2009-04-05 15:42:03.432878+00:00,-4.6249304,104.31529,1.5908846,"Southern Sumatra, Indonesia"
2009-04-05 22:08:47.562456+00:00,-1.6902399,102.9303,4.3928009,"Southern Sumatra, Indonesia"
2009-04-06 03:14:47.787345+00:00,2.5967233,96.137718,3.8638903,"Northern Sumatra, Indonesia"
2009-04-06 23:23:33.985431+00:00,2.0818408,96.110016,4.0894267,"Northern Sumatra, Indonesia"
2009-04-08 19:36:00.791196+00:00,-0.081939399,98.132744,4.4182015,"Southern Sumatra, Indonesia"
2009-04-08 19:41:59.757738+00:00,-5.6791854,103.70494,1.8051031,"Southern Sumatra, Indonesia"
2009-04-09 02:04:14.138089+00:00,2.2514071,96.042969,4.1151284,"Northern Sumatra, Indonesia"
2009-04-11 00:03:29.186882+00:00,1.0519472,96.943542,4.272049,Off West Coast of Northern Sumatra
2009-04-11 01:59:47.655613+00:00,1.1948361,97.263023,4.8552557,"Northern Sumatra, Indonesia"
